X-Values, Y-Values
-20.000000, 375.000000
-19.000000, 359.000000
-18.000000, 239.000000
-17.000000, 198.000000
-16.000000, 169.000000
-15.000000, 146.000000
-14.000000, 208.000000
-13.000000, 184.000000
-12.000000, 156.000000
-11.000000, 129.000000
-10.000000, 115.000000
-9.000000, 103.000000
-8.000000, 6.000000
-7.000000, -11.000000
-6.000000, -25.000000
-5.000000, 63.000000
-4.000000, -30.000000
-3.000000, -34.000000
-2.000000, -39.000000
-1.000000, -33.000000
0.000000, 48.000000
1.000000, 42.000000
2.000000, 58.000000
3.000000, -10.000000
4.000000, 1.000000
5.000000, 78.000000
6.000000, 100.000000
7.000000, 28.000000
8.000000, 136.000000
9.000000, 145.000000
10.000000, 166.000000
11.000000, 119.000000
12.000000, 231.000000
13.000000, 250.000000
14.000000, 200.000000
15.000000, 237.000000
16.000000, 357.000000
17.000000, 297.000000
18.000000, 350.000000
19.000000, 384.000000
20.000000, 496.000000
