X-Values, Y-Values
-20.000000, 247.666667
-19.000000, 242.000000
-18.000000, 234.750000
-17.000000, 226.000000
-16.000000, 216.300000
-15.000000, 207.090909
-14.000000, 182.363636
-13.000000, 150.272727
-12.000000, 127.545455
-11.000000, 107.272727
-10.000000, 97.636364
-9.000000, 81.636364
-8.000000, 59.636364
-7.000000, 39.363636
-6.000000, 22.181818
-5.000000, 14.818182
-4.000000, 8.181818
-3.000000, 4.090909
-2.000000, 2.636364
-1.000000, 3.727273
0.000000, 13.090909
1.000000, 16.454545
2.000000, 21.727273
3.000000, 37.181818
4.000000, 53.909091
5.000000, 72.000000
6.000000, 78.454545
7.000000, 95.636364
8.000000, 113.090909
9.000000, 132.181818
10.000000, 153.636364
11.000000, 179.000000
12.000000, 196.909091
13.000000, 226.181818
14.000000, 248.727273
15.000000, 280.636364
16.000000, 292.100000
17.000000, 311.333333
18.000000, 321.375000
19.000000, 331.571429
20.000000, 353.500000
