X-Values, Y-Values
-20.000000, 284.500000
-19.000000, 272.285714
-18.000000, 250.375000
-17.000000, 240.444444
-16.000000, 229.400000
-15.000000, 218.090909
-14.000000, 191.727273
-13.000000, 159.454545
-12.000000, 138.727273
-11.000000, 112.636364
-10.000000, 88.090909
-9.000000, 73.000000
-8.000000, 58.454545
-7.000000, 46.363636
-6.000000, 29.090909
-5.000000, 21.363636
-4.000000, 16.909091
-3.000000, 21.272727
-2.000000, 21.000000
-1.000000, 12.727273
0.000000, 14.181818
1.000000, 18.000000
2.000000, 15.727273
3.000000, 17.272727
4.000000, 26.545455
5.000000, 38.545455
6.000000, 45.000000
7.000000, 60.545455
8.000000, 70.727273
9.000000, 90.454545
10.000000, 113.090909
11.000000, 136.545455
12.000000, 169.090909
13.000000, 205.363636
14.000000, 242.818182
15.000000, 274.818182
16.000000, 292.000000
17.000000, 311.555556
18.000000, 322.125000
19.000000, 343.285714
20.000000, 365.500000
