X-Values, Y-Values
-10.000000, 72.000000
-9.000000, 82.000000
-8.000000, 39.000000
-7.000000, -15.000000
-6.000000, 30.000000
-5.000000, -13.000000
-4.000000, 17.000000
-3.000000, -26.000000
-2.000000, -43.000000
-1.000000, 8.000000
0.000000, 1.000000
1.000000, 24.000000
2.000000, -34.000000
3.000000, -11.000000
4.000000, 41.000000
5.000000, 3.000000
6.000000, 108.000000
7.000000, 27.000000
8.000000, 140.000000
9.000000, 100.000000
10.000000, 154.000000
11.000000, 128.000000
12.000000, 208.000000
13.000000, 170.000000
14.000000, 249.000000
15.000000, 287.000000
16.000000, 342.000000
17.000000, 391.000000
18.000000, 378.000000
19.000000, 418.000000
20.000000, 474.000000
