X-Values, Y-Values
-100.000000, 9003.222643
-99.000000, 8959.139400
-98.000000, 8910.450639
-97.000000, 8857.615924
-96.000000, 8800.169455
-95.000000, 8737.808446
-94.000000, 8627.469382
-93.000000, 8502.937155
-92.000000, 8366.024048
-91.000000, 8219.418341
-90.000000, 8063.601679
-89.000000, 7898.315103
-88.000000, 7728.086378
-87.000000, 7551.882661
-86.000000, 7370.092637
-85.000000, 7185.793388
-84.000000, 7002.062359
-83.000000, 6820.410969
-82.000000, 6643.975207
-81.000000, 6472.323817
-80.000000, 6305.042825
-79.000000, 6141.389181
-78.000000, 5983.452292
-77.000000, 5831.552216
-76.000000, 5685.560481
-75.000000, 5547.284748
-74.000000, 5414.027799
-73.000000, 5283.686702
-72.000000, 5156.059354
-71.000000, 5027.975958
-70.000000, 4899.102179
-69.000000, 4767.716754
-68.000000, 4635.413223
-67.000000, 4499.855748
-66.000000, 4361.387678
-65.000000, 4222.109692
-64.000000, 4080.323817
-63.000000, 3938.970699
-62.000000, 3798.370398
-61.000000, 3657.839970
-60.000000, 3519.429001
-59.000000, 3384.951165
-58.000000, 3257.159279
-57.000000, 3135.745304
-56.000000, 3021.664914
-55.000000, 2914.843727
-54.000000, 2813.420736
-53.000000, 2717.462059
-52.000000, 2624.300526
-51.000000, 2535.575507
-50.000000, 2453.142750
-49.000000, 2376.708490
-48.000000, 2304.365890
-47.000000, 2233.271976
-46.000000, 2161.656649
-45.000000, 2088.657400
-44.000000, 2013.969947
-43.000000, 1937.147258
-42.000000, 1859.916604
-41.000000, 1783.678437
-40.000000, 1706.061608
-39.000000, 1625.283246
-38.000000, 1540.912096
-37.000000, 1452.670173
-36.000000, 1363.129977
-35.000000, 1274.137491
-34.000000, 1187.929376
-33.000000, 1105.025545
-32.000000, 1027.067618
-31.000000, 951.911345
-30.000000, 878.976709
-29.000000, 809.873779
-28.000000, 744.401953
-27.000000, 683.624343
-26.000000, 629.374155
-25.000000, 579.993238
-24.000000, 534.805409
-23.000000, 491.132231
-22.000000, 447.905334
-21.000000, 404.564237
-20.000000, 361.694966
-19.000000, 319.145004
-18.000000, 276.517656
-17.000000, 236.093163
-16.000000, 196.119459
-15.000000, 156.296018
-14.000000, 116.257701
-13.000000, 76.122464
-12.000000, 38.393689
-11.000000, 4.509391
-10.000000, -25.119459
-9.000000, -49.659654
-8.000000, -68.083396
-7.000000, -79.568745
-6.000000, -87.104433
-5.000000, -89.799399
-4.000000, -89.689707
-3.000000, -84.612322
-2.000000, -74.679189
-1.000000, -61.788129
0.000000, -46.675432
1.000000, -30.438017
2.000000, -12.756574
3.000000, 5.729527
4.000000, 23.317055
5.000000, 42.309542
6.000000, 62.726521
7.000000, 87.276484
8.000000, 114.018783
9.000000, 143.117205
10.000000, 174.351615
11.000000, 208.575507
12.000000, 246.111946
13.000000, 284.543952
14.000000, 324.531931
15.000000, 366.435011
16.000000, 409.280992
17.000000, 452.462059
18.000000, 493.957175
19.000000, 533.643125
20.000000, 572.039068
21.000000, 611.539444
22.000000, 650.691961
23.000000, 689.274981
24.000000, 729.735537
25.000000, 770.045079
26.000000, 811.851991
27.000000, 856.066867
28.000000, 903.806912
29.000000, 955.054846
30.000000, 1011.280992
31.000000, 1071.107438
32.000000, 1132.204358
33.000000, 1194.531931
34.000000, 1259.749061
35.000000, 1326.960932
36.000000, 1398.969947
37.000000, 1473.335838
38.000000, 1548.838467
39.000000, 1625.101427
40.000000, 1703.770849
41.000000, 1783.842975
42.000000, 1866.238167
43.000000, 1951.274981
44.000000, 2040.570248
45.000000, 2132.290008
46.000000, 2227.134485
47.000000, 2322.381668
48.000000, 2419.957926
49.000000, 2520.064613
50.000000, 2623.016529
51.000000, 2727.854996
52.000000, 2835.800150
53.000000, 2946.426747
54.000000, 3060.732532
55.000000, 3178.329827
56.000000, 3299.208114
57.000000, 3422.057851
58.000000, 3548.851991
59.000000, 3679.082645
60.000000, 3813.151766
61.000000, 3949.328325
62.000000, 4088.182569
63.000000, 4227.879790
64.000000, 4368.282494
65.000000, 4508.858002
66.000000, 4647.688204
67.000000, 4786.613824
68.000000, 4925.569497
69.000000, 5064.383171
70.000000, 5203.477836
71.000000, 5342.712998
72.000000, 5484.709992
73.000000, 5628.179564
74.000000, 5773.440270
75.000000, 5921.319309
76.000000, 6071.663411
77.000000, 6227.228400
78.000000, 6385.416980
79.000000, 6548.289256
80.000000, 6714.834711
81.000000, 6883.740045
82.000000, 7054.216379
83.000000, 7224.276484
84.000000, 7394.941397
85.000000, 7568.124718
86.000000, 7743.182870
87.000000, 7920.207797
88.000000, 8096.274704
89.000000, 8273.565931
90.000000, 8449.012556
91.000000, 8615.800312
92.000000, 8774.482592
93.000000, 8926.558854
94.000000, 9072.348167
95.000000, 9211.174117
96.000000, 9288.383264
97.000000, 9362.196831
98.000000, 9431.179929
99.000000, 9495.462950
100.000000, 9550.895998
